105/08/24,446500,9719469,21.82,21.82,21.74,21.76,,128
105/08/25,1158053,24987564,21.61,21.61,21.55,21.58,-0.18,387
105/08/26,628272,13527341,21.54,21.56,21.50,21.55,-0.03,213
105/08/29,1317050,28207145,21.47,21.47,21.39,21.42,-0.13,353
105/08/30,307000,6601840,21.48,21.52,21.48,21.52,0.10,145
105/08/31,555073,11869459,21.36,21.42,21.32,21.40,-0.12,230
105/09/01,890000,18974280,21.33,21.35,21.30,21.31,-0.09,305
105/09/02,736000,15726280,21.36,21.38,21.35,21.38,0.07,198
105/09/05,872050,18760787,21.49,21.53,21.46,21.53,0.15,227
105/09/06,524000,11270820,21.52,21.54,21.49,21.51,-0.02,144
105/09/07,2252280,49156951,21.79,21.88,21.79,21.88,0.37,547
105/09/08,629000,13716910,21.86,21.86,21.79,21.80,-0.08,185
105/09/09,712500,15450594,21.70,21.71,21.67,21.71,-0.09,190
105/09/10,444000,9574200,21.63,21.63,21.52,21.55,-0.16,204
105/09/12,584000,12586860,21.61,21.61,21.50,21.58,0.03,138
105/09/13,640000,13828610,21.60,21.64,21.55,21.55,-0.03,125
