105/10/07,8645000,175895730,20.29,20.49,20.29,20.45,0.49,1405
105/10/11,4933000,103705600,20.92,21.07,20.92,21.05,0.60,574
105/10/12,2112000,43735720,20.72,20.78,20.64,20.77,-0.28,255
105/10/13,4352000,86309540,19.92,19.92,19.72,19.84,-0.93,639
105/10/14,4091000,83602600,20.29,20.59,20.29,20.53,0.69,490
105/10/17,1572000,31676540,20.15,20.22,20.07,20.20,-0.33,234
105/10/18,1474000,29717920,20.19,20.21,20.12,20.18,-0.02,183
105/10/19,1912000,39222530,20.49,20.61,20.42,20.49,0.31,267
105/10/20,3275000,68620040,20.98,21.01,20.86,20.87,0.38,484
105/10/21,11195000,224435180,20.16,20.17,19.97,19.98,-0.89,1341
105/10/24,2578000,51918670,20.13,20.20,20.01,20.16,0.18,256
105/10/25,2730000,54715350,20.05,20.10,20.00,20.10,-0.06,317
105/10/26,10826000,207471410,19.20,19.21,19.10,19.11,-0.99,1445
105/10/27,3111000,59333980,19.03,19.14,18.96,19.12,0.01,482
105/10/28,4296000,83486590,19.39,19.50,19.38,19.46,0.34,451
105/10/31,6806000,125585960,18.44,18.54,18.41,18.52,-0.94,1050
105/11/01,13055000,225835150,17.23,17.39,17.22,17.39,-1.13,1660
105/11/02,12755000,215435420,16.95,16.97,16.78,16.84,-0.55,1841
105/11/03,12863000,211543250,16.43,16.52,16.39,16.45,-0.39,1739
105/11/04,14523300,228715117,15.77,15.81,15.71,15.74,-0.71,2087
