105/08/24,53000,853260,16.06,16.10,16.06,16.10,,4
105/08/25,3000,48200,16.10,16.10,16.05,16.05,-0.05,2
105/08/26,0,0,--,--,--,--,,0
105/08/29,1000,16100,16.10,16.10,16.10,16.10,X,1
105/08/30,56000,901600,16.10,16.10,16.10,16.10,,4
105/08/31,10000,161000,16.10,16.10,16.10,16.10,,1
105/09/01,12000,193800,16.15,16.15,16.15,16.15,0.05,1
105/09/02,7000,113050,16.15,16.15,16.15,16.15,,4
105/09/05,40000,646000,16.15,16.15,16.15,16.15,,9
105/09/06,1000,16100,16.10,16.10,16.10,16.10,-0.05,1
105/09/07,0,0,--,--,--,--,,0
105/09/08,0,0,--,--,--,--,,0
105/09/09,2000,32260,16.11,16.15,16.11,16.15,X,2
105/09/10,1000,16110,16.11,16.11,16.11,16.11,-0.04,1
105/09/12,11000,176750,16.15,16.15,16.06,16.06,-0.05,2
105/09/13,103000,1648990,16.06,16.06,16.00,16.01,-0.05,71
105/09/14,1328000,20482600,16.02,16.02,15.35,15.35,-0.66,236
105/09/19,66000,1028660,15.65,15.70,15.51,15.64,0.29,31
105/09/20,21000,329120,15.60,15.87,15.60,15.65,0.01,13
105/09/21,8000,125920,15.65,15.77,15.65,15.74,0.09,6
105/09/22,25000,394840,15.84,15.85,15.75,15.75,0.01,9
105/09/23,28000,439860,15.74,15.74,15.70,15.70,-0.05,22
105/09/26,23000,361650,15.75,15.78,15.69,15.70,,14
105/09/29,53000,832200,15.72,15.75,15.65,15.65,-0.05,47
105/09/30,26000,408500,15.70,15.80,15.70,15.70,0.05,7
105/10/03,6000,94250,15.73,15.73,15.70,15.70,,6
105/10/04,1000,15710,15.71,15.71,15.71,15.71,0.01,1
105/10/05,0,0,--,--,--,--,,0
105/10/06,0,0,--,--,--,--,,0
105/10/07,18000,283740,15.75,15.80,15.71,15.77,X,15
105/10/11,10000,157840,15.78,15.80,15.73,15.80,0.03,4
105/10/12,17000,268590,15.80,15.80,15.79,15.80,,8
105/10/13,43000,677550,15.80,15.80,15.70,15.78,-0.02,20
