105/08/24,146000,407040,2.79,2.79,2.78,2.78,0.18,2
105/08/25,0,0,--,--,--,--,,0
105/08/26,30000,84900,2.83,2.83,2.83,2.83,X,1
105/08/29,55000,153300,2.78,2.82,2.78,2.82,-0.01,2
105/08/30,0,0,--,--,--,--,,0
105/08/31,0,0,--,--,--,--,,0
105/09/01,55000,139700,2.54,2.54,2.54,2.54,X,2
105/09/02,0,0,--,--,--,--,,0
105/09/05,387000,1033460,2.62,2.73,2.62,2.66,X,13
105/09/06,301000,830120,2.80,2.82,2.73,2.80,0.14,12
105/09/07,289000,937120,3.02,3.56,3.01,3.49,0.69,24
105/09/08,614000,2444290,3.95,4.29,3.85,4.26,0.77,40
105/09/09,546000,2216850,4.00,4.24,3.86,4.13,-0.13,24
105/09/10,302000,1114580,3.75,3.78,3.51,3.66,-0.47,20
105/09/12,113000,467540,3.75,4.23,3.75,4.04,0.38,14
105/09/13,146000,598410,4.25,4.25,3.92,3.92,-0.12,18
105/09/14,79000,375790,4.54,5.05,4.53,5.05,1.13,14
105/09/19,67000,434200,6.50,6.85,6.25,6.75,1.70,9
105/09/20,14000,95200,6.80,6.80,6.80,6.80,0.05,1
105/09/21,58000,362900,6.30,6.40,6.20,6.35,-0.45,10
105/09/22,73000,488250,6.85,6.90,6.50,6.50,0.15,9
105/09/23,11000,69450,6.30,6.45,6.30,6.45,-0.05,2
105/09/26,28000,152850,5.45,5.50,5.40,5.40,-1.05,5
