105/10/18,0,0,--,--,--,--,,0
105/10/19,335000,227130,0.67,0.68,0.67,0.68,X,3
105/10/20,479000,303360,0.65,0.65,0.62,0.62,-0.06,6
105/10/21,573000,333760,0.59,0.59,0.58,0.58,-0.04,8
105/10/24,1144000,649560,0.56,0.58,0.56,0.58,,16
105/10/25,650000,363240,0.56,0.56,0.52,0.52,-0.06,8
105/10/26,8000,4320,0.54,0.54,0.54,0.54,0.02,1
105/10/27,599000,325870,0.50,0.55,0.50,0.54,,6
105/10/28,635000,344050,0.53,0.56,0.53,0.56,0.02,10
105/10/31,543000,296300,0.56,0.57,0.53,0.53,-0.03,8
105/11/01,732000,393290,0.54,0.54,0.53,0.54,0.01,5
105/11/02,2366000,1425880,0.58,0.62,0.58,0.62,0.08,24
105/11/03,2814000,1822270,0.64,0.67,0.62,0.67,0.05,23
105/11/04,417000,278060,0.67,0.68,0.66,0.66,-0.01,22
105/11/07,1063000,624190,0.62,0.62,0.58,0.58,-0.08,16
105/11/08,1107000,654290,0.57,0.61,0.57,0.60,0.02,8
105/11/09,1948000,1335620,0.58,0.74,0.58,0.74,0.14,33
105/11/10,1448000,950380,0.66,0.66,0.64,0.66,-0.08,25
