105/10/06,0,0,---,---,---,---,---,0
105/10/07,25000,16500,0.66,0.66,0.66,0.66,-0.07,1
105/10/11,0,0,---,---,---,---,---,0
105/10/12,79000,50920,0.64,0.67,0.64,0.67,+0.06,2
105/10/13,67000,43550,0.65,0.65,0.65,0.65,-0.02,1
105/10/14,101000,55420,0.54,0.55,0.54,0.55,-0.10,3
105/10/17,424000,244350,0.56,0.63,0.56,0.62,+0.07,5
105/10/18,336000,201960,0.61,0.61,0.59,0.61,-0.01,6
105/10/19,199000,118400,0.59,0.60,0.59,0.60,-0.01,2
105/10/20,219000,123640,0.56,0.57,0.56,0.56,-0.04,3
105/10/21,441000,252610,0.54,0.58,0.54,0.58,+0.02,7
105/10/24,70000,56000,0.80,0.80,0.80,0.80,+0.22,2
105/10/25,373000,326070,0.87,0.90,0.86,0.90,+0.10,7
105/10/26,1302000,1456450,0.96,1.22,0.94,1.18,+0.28,55
105/10/27,1021000,1116010,1.18,1.18,1.03,1.13,-0.05,40
105/10/28,304000,336360,1.17,1.17,1.05,1.07,-0.06,22
105/10/31,309000,340610,1.03,1.14,1.01,1.14,+0.07,18
105/11/01,1256000,1570450,1.13,1.31,1.10,1.26,+0.12,55
105/11/02,1110000,1216220,1.13,1.18,1.00,1.00,-0.26,60
