105/09/01,110000,122300,1.11,1.13,1.11,1.13,+0.17,3
105/09/02,264000,326320,1.19,1.32,1.19,1.30,+0.17,9
105/09/05,177000,232670,1.32,1.32,1.30,1.30,0.00,4
105/09/06,10000,13000,1.30,1.30,1.30,1.30,0.00,1
105/09/07,0,0,---,---,---,---,---,0
105/09/08,0,0,---,---,---,---,---,0
105/09/09,110000,154720,1.35,1.43,1.35,1.43,+0.10,4
105/09/10,224000,337120,1.49,1.55,1.49,1.55,+0.12,9
105/09/12,104000,158220,1.53,1.53,1.48,1.51,-0.04,4
105/09/13,30000,44400,1.48,1.48,1.48,1.48,-0.03,1
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
