105/08/24,113000,64410,0.57,0.57,0.57,0.57,-0.01,1
105/08/25,22000,12780,0.58,0.59,0.58,0.59,+0.02,2
105/08/26,20000,11000,0.55,0.55,0.55,0.55,-0.04,1
105/08/29,80000,44000,0.55,0.55,0.55,0.55,0.00,1
105/08/30,0,0,---,---,---,---,---,0
105/08/31,10000,5100,0.51,0.51,0.51,0.51,0.00,1
105/09/01,10000,5200,0.52,0.52,0.52,0.52,+0.01,1
105/09/02,0,0,---,---,---,---,---,0
105/09/05,22000,9460,0.43,0.43,0.43,0.43,0.00,3
105/09/06,20000,7950,0.40,0.40,0.39,0.39,-0.04,2
105/09/07,1000,370,0.37,0.37,0.37,0.37,-0.02,1
105/09/08,0,0,---,---,---,---,---,0
105/09/09,0,0,---,---,---,---,---,0
105/09/10,1000,390,0.39,0.39,0.39,0.39,+0.02,1
105/09/12,12000,4140,0.34,0.37,0.34,0.37,-0.02,2
105/09/13,10000,3500,0.35,0.35,0.35,0.35,-0.02,1
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,34000,6800,0.20,0.20,0.20,0.20,-0.07,3
105/09/26,4000,720,0.18,0.18,0.18,0.18,-0.02,1
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
105/10/05,0,0,---,---,---,---,---,0
105/10/06,0,0,---,---,---,---,---,0
105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,0,0,---,---,---,---,---,0
105/10/13,0,0,---,---,---,---,---,0
105/10/14,0,0,---,---,---,---,---,0
