105/11/02,0,0,---,---,---,---,---,0
105/11/03,10000,12100,1.21,1.21,1.21,1.21,+0.09,1
105/11/04,90000,104500,1.19,1.19,1.13,1.13,-0.08,6
105/11/07,0,0,---,---,---,---,---,0
105/11/08,95000,119050,1.25,1.27,1.24,1.24,+0.06,3
105/11/09,70000,82600,1.17,1.27,1.16,1.27,+0.03,5
105/11/10,50000,57350,1.17,1.17,1.14,1.16,-0.11,5
105/11/11,10000,11800,1.18,1.18,1.18,1.18,+0.02,1
105/11/14,174000,213360,1.22,1.26,1.22,1.26,+0.08,7
105/11/15,86000,107950,1.27,1.27,1.25,1.25,-0.01,3
105/11/16,60000,70500,1.18,1.18,1.17,1.17,-0.08,3
105/11/17,276000,344980,1.22,1.28,1.22,1.28,+0.11,11
105/11/18,145000,181740,1.26,1.26,1.23,1.23,-0.05,4
105/11/21,10000,12100,1.21,1.21,1.21,1.21,-0.02,1
105/11/22,35000,41100,1.18,1.18,1.17,1.17,-0.04,2
105/11/23,40000,46000,1.15,1.15,1.15,1.15,-0.02,1
105/11/24,40000,46400,1.16,1.16,1.16,1.16,+0.01,1
105/11/25,0,0,---,---,---,---,---,0
105/11/28,78000,86070,1.14,1.14,1.10,1.10,-0.06,4
105/11/29,10000,11300,1.13,1.13,1.13,1.13,+0.03,1
105/11/30,57000,68790,1.17,1.21,1.17,1.19,+0.06,3
105/12/01,285000,341500,1.20,1.20,1.19,1.19,0.00,4
105/12/02,100000,119000,1.19,1.19,1.19,1.19,0.00,1
105/12/05,119000,142110,1.19,1.24,1.19,1.24,+0.05,6
